model_name,accuracy,precision,recall,f1,roc_auc,pr_auc,fit_time_s,predict_time_ms,cv_f1_mean,cv_f1_std
logistic_regression,0.9101684341859014,0.6408450704225352,0.8946629213483146,0.7467760844079718,0.9588318939865564,0.8376113618825974,0.14425325393676758,0.004780121468337565,0.7499947765779451,0.008347883468321372
random_forest,0.9552921605323352,0.7906432748538011,0.949438202247191,0.8627951499680919,0.9915658346885773,0.9541392535673076,1.7144174575805664,0.04652726920435844,0.8435599129758498,0.009021517035246764
xgboost,0.9634019546683302,0.8236714975845411,0.9578651685393258,0.8857142857142857,0.995292869817049,0.9743263510922097,1.0365095138549805,0.01105297427337069,0.8856501553030519,0.011245304489493959
mlp,0.9517571220627989,0.8418803418803419,0.8300561797752809,0.8359264497878359,0.9840017222796621,0.9087361886103367,3.2440528869628906,0.003964619865584061,0.7947485582184113,0.010016586761551127
