model_name,accuracy,macro_f1,weighted_f1,fit_time_s
logistic_regression,0.842586816385943,0.6751176585416073,0.8703984314949736,0.24792766571044922
random_forest,0.9638178415470992,0.8985251608238688,0.9646949927174336,1.0637106895446777
xgboost,0.9769182782283219,0.9312919914579986,0.9767772518972135,1.8474016189575195
mlp,0.943647327926804,0.811461992774612,0.9431397320125211,2.6800811290740967
